Sample,Event category,Database,Strict window W_strict,Relaxed window W_1m,Relaxed window W_2m
Full sample (with extrapolated segments),Cooperation,GDELT,112/166（67.5%）,106/166（63.9%）,103/166（62.0%）
Full sample (with extrapolated segments),Cooperation,ICEWS,87/166（52.4%）,74/166（44.6%）,72/166（43.4%）
Full sample (with extrapolated segments),Cooperation,Phoenix,69/111（62.2%）,66/111（59.5%）,63/111（56.8%）
Full sample (with extrapolated segments),Cooperation,Tsinghua,39/76（51.3%）,40/76（52.6%）,41/76（53.9%）
Full sample (with extrapolated segments),Conflict/Shock,GDELT,78/109（71.6%）,78/109（71.6%）,71/109（65.1%）
Full sample (with extrapolated segments),Conflict/Shock,ICEWS,70/109（64.2%）,64/109（58.7%）,65/109（59.6%）
Full sample (with extrapolated segments),Conflict/Shock,Phoenix,40/65（61.5%）,34/65（52.3%）,34/65（52.3%）
Full sample (with extrapolated segments),Conflict/Shock,Tsinghua,50/66（75.8%）,52/66（78.8%）,52/66（78.8%）
Full sample (with extrapolated segments),Overall,GDELT,190/275（69.1%）,184/275（66.9%）,174/275（63.3%）
Full sample (with extrapolated segments),Overall,ICEWS,157/275（57.1%）,138/275（50.2%）,137/275（49.8%）
Full sample (with extrapolated segments),Overall,Phoenix,109/176（61.9%）,100/176（56.8%）,97/176（55.1%）
Full sample (with extrapolated segments),Overall,Tsinghua,89/142（62.7%）,92/142（64.8%）,93/142（65.5%）
Common window ≤2019-03,Cooperation,GDELT,68/106（64.2%）,65/106（61.3%）,65/106（61.3%）
Common window ≤2019-03,Cooperation,ICEWS,64/106（60.4%）,57/106（53.8%）,56/106（52.8%）
Common window ≤2019-03,Cooperation,Phoenix,69/106（65.1%）,66/106（62.3%）,63/106（59.4%）
Common window ≤2019-03,Cooperation,Tsinghua,31/56（55.4%）,31/56（55.4%）,31/56（55.4%）
Common window ≤2019-03,Conflict/Shock,GDELT,40/57（70.2%）,41/57（71.9%）,36/57（63.2%）
Common window ≤2019-03,Conflict/Shock,ICEWS,44/57（77.2%）,38/57（66.7%）,38/57（66.7%）
Common window ≤2019-03,Conflict/Shock,Phoenix,39/57（68.4%）,33/57（57.9%）,33/57（57.9%）
Common window ≤2019-03,Conflict/Shock,Tsinghua,29/37（78.4%）,29/37（78.4%）,29/37（78.4%）
Common window ≤2019-03,Overall,GDELT,108/163（66.3%）,106/163（65.0%）,101/163（62.0%）
Common window ≤2019-03,Overall,ICEWS,108/163（66.3%）,95/163（58.3%）,94/163（57.7%）
Common window ≤2019-03,Overall,Phoenix,108/163（66.3%）,99/163（60.7%）,96/163（58.9%）
Common window ≤2019-03,Overall,Tsinghua,60/93（64.5%）,60/93（64.5%）,60/93（64.5%）
Fair coverage (record-level),Overall,GDELT,190/278（68.3%）,184/278（66.2%）,174/278（62.6%）
Fair coverage (record-level),Overall,ICEWS,156/236（66.1%）,137/236（58.1%）,136/236（57.6%）
Fair coverage (record-level),Overall,Phoenix,108/166（65.1%）,99/166（59.6%）,96/166（57.8%）
Fair coverage (record-level),Overall,Tsinghua,89/142（62.7%）,92/142（64.8%）,93/142（65.5%）
# Fair rows use record-level denominators (278/236/166/142 records; 275/233/163/142 deduplicated events). Source: fair rerun hit_rate_main.csv.,,,,,
